"─│─","─┼─"
"   ","   "
"─┃─","─╂─"
"   ","   "
"─│━","─┾━"
"   ","   "
"━│─","━┽─"
"   ","   "
"━┃─","━╉─"
"   ","   "
"─┃━","─╊━"
"   ","   "
"━│━","━┿━"
"   ","   "
"━┃━","━╋━"
"   ","   "
" │─"," ┼─"
"   ","   "
" ┃─"," ┠─"
"   ","   "
" │━"," ┝━"
"   ","   "
" ┃━"," ┣━"
"   ","   "
"─│ ","─┤ "
"   ","   "
"─┃ ","─┨ "
"   ","   "
"━│ ","━┥ "
"   ","   "
"━┃ ","━┫ "
"   ","   "
"   ","   "
" │ "," │ "
" ─ "," ┼ "
" │ "," │ "
"   ","   "
" ┃ "," ┃ "
" ─ "," ╂ "
" ┃ "," ┃ "
"   ","   "
" ┃ "," ┃ "
" ─ "," ╀ "
" │ "," │ "
"   ","   "
" │ "," │ "
" ─ "," ╁ "
" ┃ "," ┃ "
"   ","   "
" ┃ "," ┃ "
" ━ "," ╇ "
" │ "," │ "
"   ","   "
" │ "," │ "
" ━ "," ╈ "
" ┃ "," ┃ "
"   ","   "
" │ "," │ "
" ━ "," ┿ "
" │ "," │ "
"   ","   "
" ┃ "," ┃ "
" ━ "," ╋ "
" ┃ "," ┃ "
"   ","   "
" ─ "," ┬ "
" │ "," │ "
"   ","   "
" │ "," │ "
" ─ "," ┴ "
" ─ "," ┰ "
" ┃ "," ┃ "
"   ","   "
" ━ "," ┯ "
" │ "," │ "
"   ","   "
" ━ "," ┳ "
" ┃ "," ┃ "
"   ","   "
"   ","   "
" ┃ "," ┃ "
" ─ "," ┸ "
"   ","   "
" │ "," │ "
" ━ "," ┷ "
"   ","   "
" ┃ "," ┃ "
" ━ "," ┻ "
