"beveled"      ,"╱","▔","╲","▏","▕","╲","▁","╱",
"dashed"       ,"┌","┄","┐","┆","┆","└","┄","┘",
"dotted"       ,"┌","┈","┐","┆","┆","└","┈","┘",
"double"       ,"╔","═","╗","║","║","╚","═","╝",
"halfSolid"    ,"▞","▀","▚","▌","▐",▚"","▄","▞",
"halfSolidFar" ,"▛","▀","▜","▌","▐","▙","▄","▟",
"halfSolidNear","▗","▄","▖","▐","▌","▝","▀","▘",
"hDouble"      ,"╒","═","╕","│","│","╘","═","╛",
"hHalfSolid"   ,"▄","▄","▄","▌","▐","▀","▀","▀",
"hMcGugan"     ,"▁","▁","▁","▏","▕","▔","▔","▔",
"hThick"       ,"┍","━","┑","│","│","┕","━","┙",
"line"         ,"┌","─","┐","│","│","└","─","┘",
"near"         ," ","▁"," ","▕","▏"," ","▔"," ",
"round"        ,"╭","─","╮","│","│","╰","─","╯",
"roundDashed"  ,"╭","┄","╮","┆","┆","╰","┄","╯",
"roundDotted"  ,"╭","┈","╮","┆","┆","╰","┈","╯",
"roundWide"    ,"╭","╌","╮","╎","╎","╰","╌","╯",
"solid"        ,"█","█","█","█","█","█","█","█",
"space"        ," "," "," "," "," "," "," "," ",
"thick"        ,"┏","━","┓","┃","┃","┗","━","┛",
"thickDashed"  ,"┏","┅","┓","┇","┇","┗","┅","┛",
"thickWide"    ,"┏","╍","┓","╏","╏","┗","╍","┛",
"thickDotted"  ,"┏","┉","┓","┋","┋","┗","┉","┛",
"vDouble"      ,"╓","─","╖","║","║","╙","─","╜",
"vHalfSolid"   ,"▐","▀","▌","▐","▌","▐","▄","▌",
"vMcGugan"     ,"▕","▔","▏","▕","▏","▕","▁","▏",
"vThick"       ,"┎","─","┒","┃","┃","┖","─","┚",
"wideDashed"   ,"┌","╌","┐","╎","╎","└","╌","┘",
