" ","─","━","│","┃","┄","┅","┆","┇","┈","┉","┊","┋","┌","┍","┎","┏","┐","┑","┒","┓","└","┕","┖","┗","┘","┙","┚","┛","├","┝","┞","┟","┠","┡","┢","┣","┤","┥","┦","┧","┨","┩","┪","┫","┬","┭","┮","┯","┰","┱","┲","┳","┴","┵","┶","┷","┸","┹","┺","┻","┼","┽","┾","┿","╀","╁","╂","╃","╄","╅","╆","╇","╈","╉","╊","╋","╌","╍","╎","╏","═","║","╒","╓","╔","╕","╖","╗","╘","╙","╚","╛","╜","╝","╞","╟","╠","╡","╢","╣","╤","╥","╦","╧","╨","╩","╪","╫","╬","╴","╵","╶","╷","╸","╹","╺","╻","╼","╽","╾","╿"
"─","─","━","┼","╂","─","━","┼","╂","─","━","┼","╂","┬","┮","┰","┲","┬","┭","┰","┱","┴","┶","┸","┺","┴","┵","┸","┹","┼","┾","╀","╁","╂","╄","╆","╊","┼","┽","╀","╁","╂","╃","╅","╉","┬","┭","┮","┯","┰","┱","┲","┳","┴","┵","┶","┷","┸","┹","┺","┻","┼","┽","┾","┿","╀","╁","╂","╃","╄","╅","╆","╇","╈","╉","╊","╋","─","╍","┼","╂","━","╫","┮","╥","┲","┭","╥","┱","┶","╨","┺","┵","╨","┹","┾","╫","╊","┽","╫","╉","┯","╥","┳","┷","╨","┻","┿","╫","╋","─","┴","─","┬","╾","┸","╼","┰","╼","╁","╾","╀"
"━","━","━","┿","╋","━","━","┿","╋","━","━","┿","╋","┯","┯","┳","┳","┯","┯","┳","┳","┷","┷","┻","┻","┷","┷","┻","┻","┿","┿","╇","╈","╋","╇","╈","╋","┿","┿","╇","╈","╋","╇","╈","╋","┯","┯","┯","┯","┳","┳","┳","┳","┷","┷","┷","┷","┻","┻","┻","┻","┿","┿","┿","┿","╇","╈","╋","╇","╇","╈","╈","╇","╈","╋","╋","╋","━","━","┿","╋","━","╋","┯","┳","┳","┯","┳","┳","┷","┻","┻","┷","┻","┻","┿","╋","╋","┿","╋","╋","┯","┳","┳","┷","┻","┻","┿","╋","╋","━","┷","━","┯","━","┻","━","┳","━","╈","━","╇"
"│","┼","┿","│","┃","┼","┿","│","┃","┼","┿","│","┃","├","┝","┟","┢","┤","┥","┧","┪","├","┝","┞","┡","┤","┥","┦","┩","├","┝","┞","┟","┠","┡","┢","┣","┤","┥","┦","┧","┨","┩","┪","┫","┼","┽","┾","┿","╁","╅","╆","╈","┼","┽","┾","┿","╀","╃","╄","╇","┼","┽","┾","┿","╀","╁","╂","╃","╄","╅","╆","╇","╈","╉","╊","╋","┼","┿","│","┃","╪","┃","╞","┟","┢","╡","┧","┪","╞","┞","┡","╡","┦","┩","╞","┠","┣","╡","┨","┫","╪","╁","╈","╪","╀","╇","╪","╂","╋","┤","│","├","│","┥","╿","┝","╽","┾","╽","┽","╿"
"┃","╂","╋","┃","┃","╂","╋","┃","┃","╂","╋","┃","┃","┠","┣","┠","┣","┨","┫","┨","┫","┠","┣","┠","┣","┨","┫","┨","┫","┠","┣","┠","┠","┠","┣","┣","┣","┨","┫","┨","┨","┨","┫","┫","┫","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╂","╂","╉","╊","╉","╊","╋","╋","╉","╊","╋","╂","╋","┃","┃","╋","┃","┣","┠","┣","┫","┨","┫","┣","┠","┣","┫","┨","┫","┣","┠","┣","┫","┨","┫","╋","╂","╋","╋","╂","╋","╋","╂","╋","┨","┃","┠","┃","┫","┃","┣","┃","╊","┃","╉","┃"
"┄","─","━","┼","╂","┄","┅","┼","╂","─","━","┼","╂","┬","┮","┰","┲","┬","┭","┰","┱","┴","┶","┸","┺","┴","┵","┸","┹","┼","┾","╀","╁","╂","╄","╆","╊","┼","┽","╀","╁","╂","╃","╅","╉","┬","┭","┮","┯","┰","┱","┲","┳","┴","┵","┶","┷","┸","┹","┺","┻","┼","┽","┾","┿","╀","╁","╂","╃","╄","╅","╆","╇","╈","╉","╊","╋","╌","╍","┼","╂","━","╫","┮","╥","┲","┭","╥","┱","┶","╨","┺","┵","╨","┹","┾","╫","╊","┽","╫","╉","┯","╥","┳","┷","╨","┻","┿","╫","╋","─","┴","─","┬","╾","┸","╼","┰","╼","╁","╾","╀"
"┅","━","━","┿","╋","┅","┅","┿","╋","━","━","┿","╋","┯","┯","┳","┳","┯","┯","┳","┳","┷","┷","┻","┻","┷","┷","┻","┻","┿","┿","╇","╈","╋","╇","╈","╋","┿","┿","╇","╈","╋","╇","╈","╋","┯","┯","┯","┯","┳","┳","┳","┳","┷","┷","┷","┷","┻","┻","┻","┻","┿","┿","┿","┿","╇","╈","╋","╇","╇","╈","╈","╇","╈","╋","╋","╋","━","━","┿","╋","━","╋","┯","┳","┳","┯","┳","┳","┷","┻","┻","┷","┻","┻","┿","╋","╋","┿","╋","╋","┯","┳","┳","┷","┻","┻","┿","╋","╋","━","┷","━","┯","━","┻","━","┳","━","╈","━","╇"
"┆","┼","┿","│","┃","┼","┿","┆","┇","┼","┿","│","┃","├","┝","┟","┢","┤","┥","┧","┪","├","┝","┞","┡","┤","┥","┦","┩","├","┝","┞","┟","┠","┡","┢","┣","┤","┥","┦","┧","┨","┩","┪","┫","┼","┽","┾","┿","╁","╅","╆","╈","┼","┽","┾","┿","╀","╃","╄","╇","┼","┽","┾","┿","╀","╁","╂","╃","╄","╅","╆","╇","╈","╉","╊","╋","┼","┿","│","┃","╪","┃","╞","┟","┢","╡","┧","┪","╞","┞","┡","╡","┦","┩","╞","┠","┣","╡","┨","┫","╪","╁","╈","╪","╀","╇","╪","╂","╋","┤","│","├","│","┥","╿","┝","╽","┾","╽","┽","╿"
"┇","╂","╋","┃","┃","╂","╋","┇","┇","╂","╋","┃","┃","┠","┣","┠","┣","┨","┫","┨","┫","┠","┣","┠","┣","┨","┫","┨","┫","┠","┣","┠","┠","┠","┣","┣","┣","┨","┫","┨","┨","┨","┫","┫","┫","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╂","╂","╉","╊","╉","╊","╋","╋","╉","╊","╋","╂","╋","┃","┃","╋","┃","┣","┠","┣","┫","┨","┫","┣","┠","┣","┫","┨","┫","┣","┠","┣","┫","┨","┫","╋","╂","╋","╋","╂","╋","╋","╂","╋","┨","┃","┠","┃","┫","┃","┣","┃","╊","┃","╉","┃"
"┈","─","━","┼","╂","─","━","┼","╂","┈","┉","┼","╂","┬","┮","┰","┲","┬","┭","┰","┱","┴","┶","┸","┺","┴","┵","┸","┹","┼","┾","╀","╁","╂","╄","╆","╊","┼","┽","╀","╁","╂","╃","╅","╉","┬","┭","┮","┯","┰","┱","┲","┳","┴","┵","┶","┷","┸","┹","┺","┻","┼","┽","┾","┿","╀","╁","╂","╃","╄","╅","╆","╇","╈","╉","╊","╋","╌","╍","┼","╂","━","╫","┮","╥","┲","┭","╥","┱","┶","╨","┺","┵","╨","┹","┾","╫","╊","┽","╫","╉","┯","╥","┳","┷","╨","┻","┿","╫","╋","─","┴","─","┬","╾","┸","╼","┰","╼","╁","╾","╀"
